Classical Jyotish Computational Matrices: Algorithms, Arrays, and Astrological Mechanics
The translation of classical Vedic astrology (Jyotish) into a programmatic environment requires the strict codification of ancient Sanskrit dictums into structured, multidimensional arrays. In classical computational astrology, determinism is modeled through rigid algorithmic rulesets that quantify relational compatibility, karmic potential, and temporal event triggers. The following analysis exhaustively details the core lookup tables required to build a functional astrological engine. The arrays provided herein are exact, unabridged, and formatted for direct translation into application logic, avoiding arbitrary summaries to preserve the computational integrity of the system.
Alongside the structural data, a rigorous analysis of the underlying astrological mechanics is provided, delineating the causal relationships, geometric overrides, and astronomical logic that dictate how these variables interact within a broader deterministic framework.
1. Yoni Koota: The Biological and Instinctual Resonance Array
Yoni Koota operates as a biological compatibility algorithm within the Ashtakoota marriage matching system. Assigned a weight of 4 out of 36 points (11%), it quantifies physical harmony, sexual compatibility, and subconscious instinctual bonding.1 The algorithm groups the 27 lunar mansions (Nakshatras) into 14 distinct animal archetypes, each polarized with a specific gender representation.2
The scoring logic functions on a rigid 0 to 4 scalar array. Identical animal pairings yield maximum physical resonance (4 points, indicating 91% satisfaction). Pairs considered naturally friendly score 3 points (78%), neutral pairs generate 2 points (65%), and unfriendly pairs yield 1 point (48%).1 Third-order analysis reveals that the 0-point pairs (e.g., Cat and Rat, Serpent and Mongoose) do not merely represent lack of attraction; they trigger a "Yoni Dosha," representing deeply ingrained predator-prey dynamics or severe territorial conflicts that fundamentally destabilize the energetic union, yielding a basal 28-38% satisfaction rate.1
1.1 Nakshatra to Yoni Animal and Gender Mapping
This one-dimensional array maps the index of the 27 Nakshatras to their respective animal and gender archetypes.
Nakshatra Index
	Nakshatra Name
	Animal (Yoni)
	Gender
	1
	Ashwini
	Ashwa (Horse)
	Male
	2
	Bharani
	Gaja (Elephant)
	Male
	3
	Krittika
	Mesha (Sheep/Ram)
	Female
	4
	Rohini
	Sarpa (Serpent)
	Male
	5
	Mrigashira
	Sarpa (Serpent)
	Female
	6
	Ardra
	Shwan (Dog)
	Female
	7
	Punarvasu
	Marjara (Cat)
	Female
	8
	Pushya
	Mesha (Sheep/Ram)
	Male
	9
	Ashlesha
	Marjara (Cat)
	Male
	10
	Magha
	Mushaka (Rat)
	Male
	11
	Purva Phalguni
	Mushaka (Rat)
	Female
	12
	Uttara Phalguni
	Gau (Cow)
	Male
	13
	Hasta
	Mahisha (Buffalo)
	Female
	14
	Chitra
	Vyaghra (Tiger)
	Female
	15
	Swati
	Mahisha (Buffalo)
	Male
	16
	Vishakha
	Vyaghra (Tiger)
	Male
	17
	Anuradha
	Mriga (Deer)
	Female
	18
	Jyeshtha
	Mriga (Deer)
	Male
	19
	Mula
	Shwan (Dog)
	Male
	20
	Purva Ashadha
	Vanara (Monkey)
	Male
	21
	Uttara Ashadha
	Nakula (Mongoose)
	Male
	22
	Shravana
	Vanara (Monkey)
	Female
	23
	Dhanishta
	Simha (Lion)
	Female
	24
	Shatabhisha
	Ashwa (Horse)
	Female
	25
	Purva Bhadrapada
	Simha (Lion)
	Male
	26
	Uttara Bhadrapada
	Gau (Cow)
	Female
	27
	Revati
	Gaja (Elephant)
	Female
	1.2 Yoni Koota 14x14 Compatibility Matrix
The following symmetric 14x14 matrix dictates the precise score for every possible animal combination.4 This represents the core lookup table for the Yoni Koota calculation.
Animal
